EEG(uV),delta,theta,alpha,beta
4.19922,0.375773,0.129933,-0.987258,-2.2202
4.13208,0.476023,0.361648,-1.36626,-0.261899
4.24805,0.588264,0.518359,-1.74706,1.59638
3.39355,0.707835,0.58186,-2.03875,2.61619
3.02734,0.829609,0.544884,-2.15835,2.54086
2.948,0.94816,0.409963,-2.05643,1.64492
3.55225,1.05799,0.188132,-1.72558,0.528756
3.71704,1.15388,-0.102007,-1.19451,-0.24788
2.2583,1.23127,-0.435868,-0.519495,-0.515737
1.2146,1.28625,-0.786223,0.219414,-0.557533
2.12402,1.31549,-1.12713,0.925922,-0.7276
4.30298,1.31621,-1.43545,1.51078,-0.961317
4.26636,1.2867,-1.68962,1.92012,-0.840012
1.99585,1.22679,-1.86942,2.14029,-0.256644
0.0183105,1.13748,-1.95964,2.17372,0.238339
1.00708,1.02029,-1.95472,2.01834,0.0646326
3.83301,0.876803,-1.85887,1.67982,-0.528197
5.75562,0.7092,-1.68073,1.20162,-0.615017
6.2561,0.521057,-1.42789,0.671585,0.282985
5.97534,0.317692,-1.10578,0.189788,1.50642
6.75049,0.105815,-0.720771,-0.174702,1.89558
8.35571,-0.107043,-0.283058,-0.402846,1.00997
9.76562,-0.312895,0.193106,-0.513698,-0.456185
9.91821,-0.50346,0.690876,-0.542775,-1.43755
8.30688,-0.670513,1.19125,-0.532044,-1.5175
5.94482,-0.806675,1.67142,-0.53228,-1.15208
4.15039,-0.906517,2.10277,-0.602183,-1.00329
4.3335,-0.967464,2.45153,-0.790383,-1.16026
6.01807,-0.989948,2.68397,-1.10368,-1.03458
6.32935,-0.976756,2.7743,-1.48435,-0.0326977
5.41992,-0.932112,2.7107,-1.82182,1.64494
4.40063,-0.861129,2.496,-1.99824,2.96439
4.15649,-0.769698,2.14458,-1.93583,2.95637
4.96216,-0.664404,1.67902,-1.61636,1.63876
4.82788,-0.552161,1.12844,-1.07197,-0.0294019
4.58374,-0.439735,0.527107,-0.367805,-1.06486
4.6875,-0.333394,-0.0881214,0.410255,-1.22622
5.27344,-0.238707,-0.680848,1.16729,-0.920976
6.78101,-0.16029,-1.21727,1.81597,-0.599192
8.1543,-0.101422,-1.66709,2.29361,-0.38211
7.44629,-0.0636923,-2.00434,2.56887,-0.199442
4.49829,-0.0471079,-2.21026,2.63036,-0.136972
1.67236,-0.0508921,-2.27837,2.46544,-0.471137
1.23901,-0.0746223,-2.21843,2.05483,-1.22019
2.83203,-0.118856,-2.05469,1.39849,-1.76787
3.85742,-0.184801,-1.81816,0.553178,-1.2556
3.21655,-0.273467,-1.53803,-0.358616,0.461191
0.805664,-0.385144,-1.23775,-1.18538,2.37639
0.3479,-0.519574,-0.936237,-1.80279,3.0967
1.33667,-0.676319,-0.649839,-2.14584,2.14877
2.66113,-0.854715,-0.391272,-2.2015,0.435871
3.79028,-1.05334,-0.16656,-1.98587,-0.685747
4.49219,-1.26947,0.0265337,-1.53333,-0.667675
6.28662,-1.49881,0.197312,-0.898794,-0.0481012
8.6853,-1.73542,0.359697,-0.15756,0.32426
9.91821,-1.97165,0.529951,0.603898,0.102251
8.78906,-2.19833,0.723696,1.29579,-0.523827
6.98853,-2.40554,0.950829,1.82343,-1.29601
5.62134,-2.58384,1.20987,2.08847,-2.06822
6.72607,-2.72553,1.48573,2.011,-2.55236
9.41162,-2.82512,1.75354,1.56988,-2.21267
12.3718,-2.87886,1.98704,0.835023,-0.684931
12.7319,-2.88386,2.16657,-0.0389943,1.62746
10.9375,-2.8376,2.28158,-0.86602,3.48645
8.8501,-2.73833,2.32672,-1.50049,3.60591
8.47168,-2.58611,2.29625,-1.88193,1.76523
10.5469,-2.38336,2.18217,-2.02527,-0.799507
12.4695,-2.1347,1.97814,-1.97368,-2.26727
12.0728,-1.846,1.6851,-1.75918,-1.73309
9.63135,-1.52375,1.31284,-1.40281,0.00648093
7.21436,-1.17521,0.876035,-0.942737,1.20281
6.28052,-0.808996,0.388623,-0.450249,0.792497
7.42798,-0.435356,-0.138096,-0.00966714,-0.660768
8.20312,-0.0656612,-0.692548,0.322472,-1.60613
8.28857,0.288617,-1.25853,0.542693,-1.03943
7.91626,0.616826,-1.81363,0.690195,0.593739
8.6731,0.909655,-2.33119,0.815213,1.94676
10.2844,1.15947,-2.78317,0.954608,2.08303
11.2122,1.36071,-3.14196,1.12546,1.172
10.5713,1.51027,-3.38227,1.32457,0.0159969
8.71582,1.60735,-3.48466,1.52237,-0.849228
7.21436,1.6528,-3.4405,1.65835,-1.44729
7.18384,1.64828,-3.25519,1.65474,-1.90949
9.0271,1.59573,-2.94678,1.45157,-2.00971
11.2793,1.49767,-2.54004,1.04489,-1.31099
12.5977,1.35784,-2.05951,0.500672,0.230615
10.7788,1.18168,-1.52579,-0.0707463,1.89198
7.59888,0.975981,-0.957559,-0.568636,2.5297
5.74341,0.747729,-0.376946,-0.94874,1.50096
7.6355,0.502919,0.187616,-1.22582,-0.575274
12.262,0.246387,0.70579,-1.42783,-2.04224
15.1917,-0.0171652,1.15502,-1.54289,-1.51563
13.7878,-0.281879,1.52755,-1.51318,0.728412
10.1685,-0.540543,1.82795,-1.2888,2.70884
7.65991,-0.785808,2.06305,-0.892097,2.42073
8.42896,-1.01179,2.23323,-0.42812,-0.20142
10.4004,-1.21483,2.33198,-0.0282375,-3.05727
11.3708,-1.393,2.35251,0.223026,-3.75962
12.1765,-1.54526,2.29429,0.32014,-1.77976
12.9761,-1.67077,2.16523,0.317206,1.252
14.5447,-1.7686,1.98038,0.288235,3.1765
15.6128,-1.83755,1.7595,0.295899,3.04838
15.0146,-1.87609,1.52434,0.3735,1.4542
12.4451,-1.88268,1.29454,0.512696,-0.445484
9.27124,-1.85654,1.08199,0.657447,-1.90364
7.37915,-1.79886,0.886415,0.716539,-2.72687
9.13696,-1.71344,0.695731,0.603505,-2.79794
12.6831,-1.60633,0.493104,0.292028,-1.80521
15.7349,-1.48435,0.267743,-0.148115,0.359275
16.3574,-1.35338,0.0225935,-0.568714,2.97203
15.1917,-1.21742,-0.226079,-0.812536,4.54514
13.9709,-1.07873,-0.456248,-0.791365,3.85878
13.2812,-0.938757,-0.649155,-0.523341,1.07692
13.0249,-0.798943,-0.794684,-0.113512,-2.20432
11.9385,-0.661163,-0.892105,0.298858,-4.12505
10.2051,-0.527939,-0.948435,0.590121,-3.90518
8.94165,-0.402632,-0.976585,0.680543,-2.193
10.437,-0.28952,-0.992858,0.547067,-0.233144
14.0381,-0.193327,-1.01199,0.232831,1.23774
16.6077,-0.118052,-1.04031,-0.152086,2.27161
15.741,-0.0657298,-1.07157,-0.46047,3.00932
12.2742,-0.0360959,-1.09035,-0.572908,3.00931
9.80225,-0.0275276,-1.0817,-0.461615,1.61483
10.3577,-0.0384452,-1.03981,-0.201979,-0.963531
11.4502,-0.0680398,-0.969153,0.0804909,-3.26859
10.9131,-0.116044,-0.879294,0.282515,-3.70008
7.97119,-0.182296,-0.779946,0.357672,-2.06378
6.19507,-0.26683,-0.680529,0.303224,0.205778
6.92139,-0.370291,-0.591498,0.137139,1.48428
7.72095,-0.493932,-0.522762,-0.103134,1.44769
4.30908,-0.639106,-0.479997,-0.355811,0.945113
-2.41089,-0.807149,-0.464657,-0.558046,0.608113
-7.69653,-1.00029,-0.479766,-0.68938,0.136827
-7.60498,-1.22286,-0.534922,-0.782966,-0.812549
-3.80859,-1.48125,-0.642381,-0.87564,-1.52435
0.317383,-1.78213,-0.804709,-0.938595,-0.687659
3.24707,-2.12968,-1.00331,-0.859558,1.93213
4.71191,-2.52351,-1.19638,-0.499491,4.71729
4.49829,-2.95793,-1.32737,0.217643,5.38749
2.87476,-3.42255,-1.33932,1.2401,2.92846
0.964355,-3.90377,-1.18943,2.38068,-1.59251
-0.201416,-4.38667,-0.85919,3.36684,-5.82932
-0.384521,-4.85653,-0.357479,3.92694,-7.69003
-1.47095,-5.29981,0.283116,3.87655,-6.4904
-2.47192,-5.70468,1.0134,3.16935,-3.15664
-2.27661,-6.0613,1.77516,1.90026,0.534788
-1.47095,-6.3619,2.50876,0.275897,3.1415
-0.689697,-6.60052,3.16058,-1.43094,4.24308
-0.714111,-6.77257,3.6888,-2.93706,4.19112
-1.28174,-6.87457,4.06567,-4.00854,3.44229
-1.25122,-6.90415,4.27668,-4.50759,2.23693
-1.60522,-6.86022,4.31827,-4.41026,0.761394
-2.02637,-6.74308,4.19589,-3.79386,-0.662662
-1.75781,-6.55444,3.9222,-2.80587,-1.66891
-0.439453,-6.2973,3.51597,-1.62469,-2.02643
1.25122,-5.9756,3.00193,-0.419527,-1.70654
3.11279,-5.59359,2.41094,0.679042,-0.895955
4.91333,-5.1552,1.77925,1.58922,0.0252851
7.22046,-4.66363,1.1461,2.27136,0.63916
8.61206,-4.12108,0.55031,2.71417,0.720565
8.12378,-3.52885,0.026122,2.91922,0.304838
5.63965,-2.88789,-0.40225,2.88372,-0.465973
3.9856,-2.1999,-0.72632,2.58985,-1.42858
3.52783,-1.4686,-0.956042,2.01559,-2.23901
3.11279,-0.700249,-1.11688,1.16778,-2.32421
2.09961,0.0963111,-1.2427,0.111659,-1.30489
0.463867,0.910081,-1.36851,-1.02895,0.498995
-0.32959,1.72824,-1.52542,-2.0992,2.18107
0.994873,2.53659,-1.73671,-2.94597,2.98171
1.61133,3.32042,-2.01386,-3.43925,2.86482
0.238037,4.06554,-2.35362,-3.48939,2.28379
-3.19824,4.75889,-2.73967,-3.07355,1.48007
-5.84106,5.38848,-3.14892,-2.25983,0.292648
-5.01709,5.94289,-3.55791,-1.19859,-1.24861
-1.5686,6.41151,-3.9438,-0.0684754,-2.40455
1.83105,6.78582,-4.27979,0.992589,-2.18046
4.13818,7.06101,-4.53063,1.92143,-0.437841
4.35181,7.23713,-4.65392,2.70826,1.63434
3.35693,7.31911,-4.60802,3.34474,2.36618
1.9043,7.31564,-4.36282,3.78364,0.994939
0.549316,7.23773,-3.90857,3.93688,-1.69349
0.939941,7.09718,-3.25915,3.71101,-3.95841
1.45264,6.90576,-2.44914,3.0587,-4.33878
2.67944,6.67489,-1.52652,2.01721,-2.58009
4.08325,6.41572,-0.54435,0.713876,0.317232
4.65698,6.13934,0.446086,-0.662043,2.84752
4.6875,5.85679,1.39923,-1.90792,3.91265
3.479,5.57873,2.27615,-2.85911,3.29093
3.14331,5.31484,3.0435,-3.42465,1.55372
5.25513,5.07324,3.673,-3.5924,-0.308321
8.26416,4.86049,4.14394,-3.40268,-1.32712
9.46655,4.68212,4.4474,-2.91332,-1.07042
6.53687,4.54316,4.5875,-2.18974,-0.0591515
1.25732,4.44761,4.57594,-1.32748,0.447633
-1.75781,4.39698,4.42244,-0.472445,-0.489756
-0.280762,4.38891,4.12923,0.206132,-2.37123
2.6001,4.41716,3.69544,0.590594,-3.36711
3.44849,4.47316,3.12769,0.679671,-1.9722
1.34277,4.54763,2.4472,0.5828,1.30248
-1.46484,4.63142,1.68769,0.447121,4.11277
-2.23999,4.71527,0.887294,0.378972,4.35689
-1.48926,4.78956,0.0823466,0.415793,2.07515
-0.653076,4.84461,-0.693664,0.548857,-0.728632
-1.00098,4.87158,-1.4084,0.75567,-2.03672
-1.64185,4.86312,-2.03065,1.01059,-1.48314
-1.85547,4.81363,-2.53294,1.27832,-0.239428
-0.842285,4.71929,-2.89434,1.51217,0.400997
-0.421143,4.57817,-3.1015,1.66601,0.13618
-0.488281,4.39037,-3.14839,1.70777,-0.463139
-1.46484,4.15801,-3.0366,1.62161,-0.804881
-3.05176,3.8848,-2.77665,1.40059,-0.809264
-4.26636,3.57535,-2.38931,1.04113,-0.739916
-4.08936,3.23458,-1.905,0.548198,-0.732257
-2.14844,2.86736,-1.36004,-0.0488459,-0.563364
-0.500488,2.47892,-0.790167,-0.681518,0.103811
-0.933838,2.07534,-0.224833,-1.24834,1.21064
-3.73535,1.6637,0.314088,-1.65069,2.06703
-6.03638,1.25138,0.808484,-1.83921,1.81466
-6.84814,0.844924,1.23937,-1.83397,0.314841
-6.25,0.449302,1.58633,-1.70032,-1.47257
-4.3335,0.0680212,1.83182,-1.50092,-2.18258
-2.33154,-0.296144,1.96733,-1.25961,-1.20085
-1.07422,-0.640202,1.99755,-0.958055,0.814581
-0.67749,-0.96031,1.94012,-0.562924,2.44619
-1.01929,-1.25171,1.82108,-0.0637501,2.56412
-1.27563,-1.50919,1.6682,0.502631,1.08415
-0.585938,-1.72767,1.50533,1.05504,-1.05523
0.482178,-1.90268,1.34962,1.49594,-2.57685
1.94092,-2.03049,1.21198,1.74741,-2.69506
2.47192,-2.10794,1.09862,1.77478,-1.55387
1.48315,-2.1325,1.01193,1.58728,-0.03826
-0.0671387,-2.10257,0.949332,1.21949,0.858676
-1.06812,-2.01815,0.901332,0.711322,0.706783
-1.08643,-1.88141,0.851514,0.103387,-0.0832087
-0.927734,-1.6968,0.779654,-0.55229,-0.622159
-1.08643,-1.47071,0.666652,-1.18324,-0.3019
-1.93481,-1.21094,0.498592,-1.70373,0.698842
-0.964355,-0.926322,0.268683,-2.03497,1.63194
1.26343,-0.626161,-0.0215944,-2.12085,1.91328
3.16772,-0.319429,-0.360881,-1.93106,1.59561
2.85645,-0.0138743,-0.727523,-1.46408,1.06652
0.946045,0.284344,-1.0932,-0.762657,0.432848
0.390625,0.570258,-1.43012,0.0716365,-0.526722
1.75171,0.839457,-1.71706,0.892538,-1.75992
3.51562,1.08791,-1.94041,1.55626,-2.59329
2.87476,1.31236,-2.0915,1.96893,-2.30848
0.787354,1.51049,-2.16539,2.09841,-1.03689
-1.44043,1.68057,-2.16305,1.9525,0.214225
-1.45264,1.82069,-2.09412,1.55763,0.571363
1.62964,1.9284,-1.97536,0.963527,0.217928
3.43018,2.00133,-1.82423,0.263209,0.161154
3.2959,2.03816,-1.65205,-0.408319,1.02069
1.0437,2.0392,-1.46277,-0.916431,2.17533
0.0793457,2.00593,-1.2576,-1.18319,2.33774
1.79443,1.94028,-1.0399,-1.21017,0.999143
4.3335,1.84437,-0.815283,-1.05121,-0.887471
5.95093,1.72103,-0.587519,-0.766285,-1.81008
6.10352,1.57441,-0.3555,-0.399482,-1.21516
5.60303,1.41004,-0.114601,0.00983804,0.0196744
5.05981,1.23431,0.138863,0.407674,0.567628
4.8645,1.05365,0.403576,0.723277,-0.0680289
4.80347,0.873888,0.671811,0.887618,-1.23274
5.97534,0.699931,0.930844,0.859136,-1.84739
7.31812,0.535763,1.16629,0.642769,-1.32073
8.57544,0.38476,1.36595,0.293224,0.0897586
9.30786,0.25004,1.52242,-0.101246,1.54822
9.29565,0.134601,1.63328,-0.44876,2.22457
9.7168,0.0411822,1.69933,-0.683194,1.8023
10.083,-0.0280045,1.72249,-0.779057,0.627169
8.57544,-0.0715563,1.70426,-0.749626,-0.596058
5.85327,-0.0892782,1.64414,-0.639189,-1.36198
3.05176,-0.0828589,1.53732,-0.515271,-1.65568
1.82495,-0.0565657,1.3735,-0.452004,-1.66806
4.29688,-0.0173639,1.13981,-0.497353,-1.32459
8.34351,0.0260292,0.828493,-0.634806,-0.252312
11.0229,0.0649888,0.446163,-0.768682,1.65833
10.9558,0.0927704,0.0179368,-0.759432,3.65029
10.2234,0.105268,-0.417247,-0.498283,4.31998
12.3169,0.100722,-0.816756,0.0302509,2.80188
14.2822,0.0792252,-1.14254,0.7431,-0.207161
14.3982,0.0425527,-1.36468,1.50084,-2.89188
12.8845,-0.00606081,-1.46361,2.1512,-3.92411
13.9526,-0.062596,-1.43318,2.55453,-3.40823
17.5354,-0.122912,-1.28146,2.61105,-2.20991
21.875,-0.182677,-1.02603,2.29815,-0.825971
23.8342,-0.236649,-0.686529,1.6888,0.709154
24.0234,-0.278197,-0.280772,0.921791,2.09494
23.2178,-0.299718,0.173144,0.138101,2.55458
22.4365,-0.29381,0.651844,-0.572405,1.57296
22.1802,-0.254569,1.12371,-1.18323,-0.377637
22.229,-0.178498,1.55021,-1.70666,-2.05111
22.0459,-0.0648807,1.89063,-2.15764,-2.38434
22.2412,0.0842554,2.10794,-2.5295,-1.27259
23.8831,0.264447,2.17402,-2.78817,0.501027
25.3784,0.469413,2.07422,-2.87846,1.9863
25.8362,0.691873,1.81019,-2.73984,2.64829
24.9817,0.92418,1.39934,-2.33342,2.38634
23.9563,1.15848,0.870302,-1.6708,1.33123
22.7905,1.38653,0.256872,-0.825573,-0.182588
21.6675,1.59938,-0.407048,0.0821208,-1.59911
21.4539,1.78743,-1.09006,0.919491,-2.33693
22.7722,1.94061,-1.76335,1.57907,-2.08452
24.6094,2.04919,-2.39872,2.00853,-0.940037
24.6338,2.10473,-2.96629,2.21906,0.60379
22.6807,2.1008,-3.43523,2.2627,1.76404
19.9463,2.03288,-3.77868,2.18958,1.80009
18.0908,1.89764,-3.98029,2.01626,0.57295
17.5049,1.69227,-4.03752,1.72902,-1.1541
17.5964,1.41423,-3.95991,1.3159,-2.15307
17.7063,1.06166,-3.76373,0.798665,-1.66594
17.7979,0.633984,-3.46657,0.240894,-0.00648096
18.0115,0.132439,-3.08405,-0.269408,1.72224
18.512,-0.439624,-2.62871,-0.647856,2.49926
19.2017,-1.07657,-2.11011,-0.836985,2.06056
19.1528,-1.77046,-1.53577,-0.818828,0.883993
18.4875,-2.51124,-0.912806,-0.618811,-0.347481
17.7979,-3.28725,-0.250516,-0.302465,-1.2325
17.3218,-4.08593,0.437412,0.0381232,-1.70273
17.1082,-4.89443,1.13228,0.30827,-1.79036
16.8213,-5.70012,1.81159,0.436696,-1.49435
16.3025,-6.4909,2.45127,0.392303,-0.859667
15.9363,-7.25548,3.02771,0.186541,-0.0740991
15.4663,-7.98362,3.51951,-0.135427,0.595874
14.2273,-8.66635,3.90877,-0.509227,0.95709
12.5122,-9.29622,4.18151,-0.86859,0.952945
10.6689,-9.86767,4.32733,-1.16147,0.639914
10.0281,-10.3773,4.33914,-1.35729,0.190413
9.70459,-10.824,4.21418,-1.44129,-0.111458
9.95483,-11.2084,3.95634,-1.40267,-0.015983
10.4553,-11.5326,3.57837,-1.22858,0.468101
11.3525,-11.7988,3.10267,-0.908151,1.03244
12.3047,-12.0095,2.56037,-0.442294,1.28885
13.5132,-12.1662,1.98886,0.146941,1.03739
15.2832,-12.2695,1.42837,0.81252,0.373431
17.3401,-12.3187,0.918482,1.48695,-0.397171
18.1946,-12.3114,0.494725,2.09232,-0.97352
16.51,-12.244,0.184625,2.54699,-1.3023
12.439,-12.1127,0.00196015,2.76376,-1.643
9.44214,-11.9146,-0.0593517,2.65051,-2.26161
8.6853,-11.6494,-0.0273777,2.13351,-2.92076
10.0891,-11.3205,0.0534679,1.20565,-2.78426
11.1755,-10.9338,0.134314,-0.031789,-1.12016
9.93652,-10.4969,0.173622,-1.3741,1.75383
7.62939,-10.0184,0.142927,-2.57391,4.34104
5.37109,-9.50716,0.0259086,-3.42313,5.02424
4.95605,-8.97334,-0.184799,-3.80663,3.42843
5.41992,-8.42768,-0.488654,-3.70581,0.7677
6.17676,-7.88115,-0.875515,-3.16918,-1.17991
7.57446,-7.34393,-1.32375,-2.28102,-1.48007
9.49097,-6.82437,-1.80028,-1.14343,-0.551407
11.4075,-6.32823,-2.26285,0.131377,0.478134
11.8896,-5.85811,-2.66435,1.42346,0.723963
10.6262,-5.41349,-2.95937,2.60305,-0.0225416
8.64258,-4.99145,-3.11255,3.52879,-1.42326
7.91626,-4.58788,-3.10592,4.05966,-2.84604
7.86743,-4.19859,-2.94177,4.08846,-3.5488
7.90405,-3.8199,-2.63979,3.58328,-2.98352
8.53882,-3.44865,-2.23103,2.61031,-1.20153
9.05151,-3.08212,-1.75139,1.32441,1.06872
8.76465,-2.71775,-1.23647,-0.0667158,2.84405
6.82373,-2.35316,-0.718973,-1.35266,3.42435
4.02222,-1.98651,-0.22882,-2.37053,2.66925
1.98364,-1.61725,0.205085,-3.03662,1.00929
0.805664,-1.24672,0.554565,-3.34502,-0.71381
-0.421143,-0.878275,0.794777,-3.33835,-1.6296
-1.36719,-0.516995,0.908392,-3.07398,-1.36342
-1.36108,-0.169061,0.889112,-2.6038,-0.267609
-0.982666,0.158977,0.743777,-1.96801,0.913353
0.268555,0.461069,0.493089,-1.19692,1.59668
1.71509,0.732571,0.170777,-0.317925,1.63176
3.77808,0.971064,-0.178999,0.634934,1.19669
4.62646,1.17693,-0.505982,1.61175,0.538066
3.22266,1.35348,-0.76021,2.53783,-0.24605
0.958252,1.50633,-0.900503,3.30659,-1.23349
-0.616455,1.64217,-0.902874,3.78614,-2.41504
-0.811768,1.76749,-0.764815,3.85191,-3.36813
0.537109,1.8879,-0.503106,3.43738,-3.35507
2.19116,2.00823,-0.146538,2.57497,-1.92127
3.36304,2.13307,0.272509,1.40095,0.551401
2.13623,2.26727,0.723611,0.117314,2.89418
-1.36719,2.41571,1.17878,-1.07445,3.81728
-4.74854,2.5824,1.60885,-2.03637,2.74825
-6.37207,2.76922,1.9802,-2.71943,0.32096
-4.94995,2.97524,2.25648,-3.13766,-1.87805
-2.57568,3.19715,2.40637,-3.31328,-2.31305
-1.01318,3.43063,2.41319,-3.23677,-0.640778
-0.22583,3.6718,2.28038,-2.8722,1.93292
0.65918,3.91803,2.03014,-2.19759,3.52467
2.7832,4.1683,1.69769,-1.2429,3.03435
5.46875,4.42326,1.32522,-0.0977652,0.923754
5.9021,4.68539,0.956883,1.10657,-1.3595
3.48511,4.95875,0.633175,2.21668,-2.71619
0.183105,5.24794,0.382849,3.06595,-3.15905
-1.97754,5.55649,0.215346,3.49027,-3.29968
-1.86768,5.88548,0.118786,3.36912,-3.29839
0.128174,6.2331,0.0659515,2.68159,-2.5672
2.74048,6.59547,0.0255748,1.54188,-0.530669
4.57764,6.96792,-0.026647,0.184767,2.45556
5.61523,7.34625,-0.102102,-1.09981,5.03738
5.29785,7.72731,-0.199732,-2.05443,5.75885
4.74243,8.10893,-0.31103,-2.52617,4.12524
4.65698,8.48934,-0.426141,-2.49588,0.964293
4.99878,8.86668,-0.537969,-2.05972,-2.11927
4.29688,9.23869,-0.643344,-1.38003,-3.76092
3.27759,9.60253,-0.742743,-0.634272,-3.62301
2.36206,9.95459,-0.840022,0.0216495,-2.38656
2.09961,10.2903,-0.941778,0.477232,-1.01814
1.83716,10.6042,-1.05552,0.682736,-0.0402846
2.32544,10.8902,-1.18696,0.653119,0.589677
3.45459,11.142,-1.33728,0.458063,1.1181
6.4209,11.3541,-1.50082,0.20265,1.66261
8.10547,11.5223,-1.66337,0.00375094,2.13332
8.55103,11.6446,-1.80263,-0.0398427,2.25902
7.10449,11.7214,-1.89275,0.116936,1.67292
5.00488,11.7549,-1.91188,0.439492,0.196099
3.15552,11.7476,-1.84948,0.817435,-1.81975
2.4353,11.7016,-1.70978,1.10346,-3.48648
3.49121,11.6178,-1.50974,1.17233,-3.84628
5.3772,11.4965,-1.27243,0.9737,-2.50102
6.87866,11.3377,-1.01906,0.553563,0.0446987
7.61719,11.1421,-0.763488,0.0332269,2.57728
8.3252,10.912,-0.511176,-0.442003,3.85031
9.61914,10.651,-0.261406,-0.755117,3.35511
10.1624,10.3637,-0.0102964,-0.8472,1.60247
9.13696,10.0558,0.246284,-0.723847,-0.363848
5.74341,9.73349,0.508991,-0.450689,-1.79107
3.02734,9.40187,0.77046,-0.141776,-2.58046
2.03857,9.0642,1.01276,0.0696928,-2.89193
2.45361,8.72118,1.21014,0.0813971,-2.59686
3.93066,8.37128,1.33673,-0.129628,-1.35939
3.73535,8.01183,1.37498,-0.492021,0.740919
1.89819,7.6399,1.32016,-0.872198,2.84348
-1.01318,7.25258,1.1787,-1.13694,3.7318
-2.92358,6.84675,0.962861,-1.20836,2.78745
-2.67334,6.41857,0.686419,-1.07904,0.624954
-0.170898,5.96382,0.364869,-0.784671,-1.24751
1.80664,5.47886,0.0192435,-0.362608,-1.55913
2.9541,4.96194,-0.320759,0.167765,-0.301643
3.40576,4.41405,-0.618259,0.790172,1.26523
3.49731,3.83905,-0.835115,1.46287,1.69324
4.10156,3.24321,-0.939066,2.10511,0.532321
3.94897,2.63461,-0.909196,2.60917,-1.42034
3.14331,2.02246,-0.738916,2.86745,-2.90382
1.64185,1.41625,-0.437234,2.79805,-3.1907
0.469971,0.824957,-0.0285807,2.36203,-2.42651
0.695801,0.256193,0.449642,1.57578,-1.19564
1.08643,-0.284068,0.95248,0.519763,0.0730316
2.66724,-0.791328,1.43475,-0.664036,1.26253
5.96313,-1.262,1.85834,-1.79153,2.33778
9.32617,-1.69255,2.19825,-2.66839,3.16158
11.0229,-2.07859,2.44578,-3.12987,3.46723
9.46655,-2.41454,2.60651,-3.08766,2.8819
7.01294,-2.69426,2.69248,-2.57136,1.12059
6.51245,-2.91248,2.71249,-1.73465,-1.55625
8.64258,-3.06602,2.66711,-0.804958,-4.03398
11.969,-3.15406,2.55165,0.0051187,-4.82121
13.2446,-3.17732,2.36347,0.571324,-3.23012
11.1938,-3.13733,2.10653,0.870978,-0.208974
7.86133,-3.03653,1.78903,0.938431,2.16797
6.82983,-2.87921,1.4169,0.811348,2.35546
8.18481,-2.67231,0.990549,0.517254,0.698067
10.0403,-2.42526,0.508389,0.101254,-0.903043
9.31396,-2.14896,-0.0263079,-0.350021,-0.8214
7.28149,-1.85483,-0.602121,-0.725762,0.766719
5.75562,-1.55454,-1.2019,-0.937689,2.20914
4.93164,-1.26024,-1.80716,-0.953079,2.12693
4.8584,-0.984483,-2.40024,-0.791287,0.672792
4.44336,-0.73979,-2.96364,-0.498118,-0.860897
3.74756,-0.538055,-3.47886,-0.123437,-1.38156
2.35596,-0.390011,-3.92654,0.286339,-0.854794
2.05688,-0.304951,-4.28808,0.686578,-0.0491767
2.56958,-0.290511,-4.54714,1.03618,0.341746
3.79028,-0.352264,-4.68958,1.30727,0.272187
5.70679,-0.493124,-4.70239,1.49442,0.161343
6.46362,-0.712738,-4.57293,1.61321,0.313781
6.05469,-1.00722,-4.29035,1.68437,0.562374
5.45654,-1.36947,-3.84948,1.71125,0.433445
4.52271,-1.79,-3.25535,1.66741,-0.329647
3.70483,-2.2579,-2.52594,1.50514,-1.41853
4.54102,-2.76168,-1.69177,1.18013,-2.14424
5.98145,-3.28975,-0.791972,0.680985,-1.92836
7.07397,-3.83038,0.131646,0.0484427,-0.712619
5.88989,-4.37163,1.03977,-0.631247,0.908164
2.48413,-4.90171,1.89676,-1.26141,1.94502
1.09863,-5.40994,2.66824,-1.77634,1.6726
2.14233,-5.88777,3.31976,-2.154,0.331893
3.77197,-6.32901,3.82049,-2.38972,-0.871468
3.27148,-6.72927,4.14992,-2.46486,-0.813366
1.0437,-7.08532,4.30141,-2.34906,0.391863
-0.732422,-7.39514,4.27993,-2.03229,1.47422
-1.17188,-7.65836,4.09748,-1.54806,1.33311
0.317383,-7.87638,3.7708,-0.962307,0.149154
3.24097,-8.05186,3.323,-0.338728,-0.867212
6.427,-8.18747,2.78682,0.290004,-0.696926
8.43506,-8.28468,2.20585,0.923696,0.545424
8.12378,-8.34299,1.63104,1.56677,1.71284
6.72607,-8.36007,1.11231,2.18917,1.57073
5.71899,-8.33283,0.688265,2.70533,-0.184302
5.23682,-8.25857,0.379105,2.9917,-2.59945
4.93774,-8.13593,0.185218,2.93485,-4.12797
4.19922,-7.96522,0.0905519,2.48018,-3.78226
4.26636,-7.74855,0.067995,1.65599,-1.80318
4.58984,-7.48968,0.0851773,0.569811,0.678662
4.71191,-7.19369,0.110091,-0.614677,2.53512
4.22974,-6.86655,0.115506,-1.71329,3.23832
3.79639,-6.51483,0.0811913,-2.56229,2.86988
3.97949,-6.14553,-0.00562517,-3.05112,1.85736
4.70581,-5.76583,-0.150164,-3.13545,0.734134
4.63257,-5.38274,-0.349831,-2.832,-0.0772536
3.28979,-5.00281,-0.594909,-2.2079,-0.48096
1.82495,-4.63207,-0.871293,-1.37221,-0.72986
