EEG(uV),delta,theta,alpha,beta
-1.96533,0.227645,0.841484,0.0160338,-1.34733
-0.592041,-0.219359,1.36881,-0.376963,-3.82481
-1.37329,-0.641024,1.84515,-0.873052,-3.64011
-1.43433,-1.03418,2.23433,-1.41551,-0.977376
-0.0854492,-1.39678,2.50999,-1.90531,2.12543
2.20337,-1.72759,2.65762,-2.23559,3.75287
2.6001,-2.02558,2.67629,-2.31526,3.49008
2.31323,-2.28953,2.57801,-2.09264,2.08742
3.85132,-2.51797,2.38366,-1.57806,0.429252
5.67017,-2.70935,2.11856,-0.844407,-0.907933
5.46875,-2.86205,1.80976,-0.00313831,-1.61343
3.33862,-2.97444,1.48317,0.819381,-1.73797
1.63574,-3.04556,1.1587,1.49251,-1.7068
3.302,-3.07593,0.846443,1.89773,-1.82097
5.65796,-3.06777,0.547954,1.96586,-1.74782
6.96411,-3.02439,0.262365,1.71257,-0.859714
6.37207,-2.9493,-0.00856499,1.23451,0.81843
6.31714,-2.84592,-0.260229,0.663688,2.31555
6.604,-2.71775,-0.488019,0.116758,2.59124
7.38525,-2.56854,-0.689334,-0.3292,1.56101
7.62939,-2.40234,-0.863515,-0.635431,0.102451
8.41675,-2.22328,-1.01095,-0.792241,-0.820836
8.5022,-2.03547,-1.1324,-0.811274,-0.895901
7.79419,-1.84293,-1.22906,-0.720638,-0.48666
7.01294,-1.64973,-1.3033,-0.562321,-0.176721
6.53687,-1.46022,-1.35982,-0.387376,-0.272811
6.46362,-1.27919,-1.40551,-0.243958,-0.599939
6.09741,-1.11187,-1.44805,-0.162285,-0.725586
3.69263,-0.963756,-1.49425,-0.148141,-0.420697
0.610352,-0.840682,-1.55018,-0.192023,0.0712802
-1.76392,-0.749223,-1.62276,-0.284501,0.280497
-1.58691,-0.696979,-1.72019,-0.417758,0.0889931
1.86768,-0.692142,-1.84811,-0.565761,0.000731203
4.82788,-0.742119,-2.00242,-0.661185,0.686053
5.05371,-0.851783,-2.16368,-0.602088,2.11747
4.45557,-1.02242,-2.29885,-0.301302,3.22736
4.76074,-1.25182,-2.3698,0.254675,2.74646
7.00073,-1.53483,-2.34237,0.986862,0.536437
8.3313,-1.86383,-2.19117,1.75609,-2.09844
6.48193,-2.22896,-1.90127,2.41082,-3.59476
3.55835,-2.61881,-1.47109,2.81353,-3.53954
2.56348,-3.02183,-0.916384,2.85033,-2.73034
4.23584,-3.42758,-0.270582,2.45394,-1.94672
6.64062,-3.82703,0.421874,1.64303,-1.06696
